col1,col2,col3,col4,col5,col6
row1,77.8,63.66,70.85,59.36,65.51,69.66
row2,76.07,68.13,66.84,73.76,75.76,69.07
row3,-1,-1,-1,69.38,69.3,74.93
row4,82.65,35.37,64.7,77.27,70.67,82.68
row5,63.42,89.4,99.01,66.8,87.52,72.15
row6,51.34,-1,73.92,93.95,71.23,88.12
row7,65.67,70.76,91.15,98.44,-1,-1
row8,67.3,51.93,84,84.68,80.68,89.97
row9,71.62,74.51,91.62,93.36,73.18,80.93
row10,61.6,74.73,74.65,60.41,86,95.95
row11,59.36,-1,55.89,76.08,72.42,54.5
row12,79.28,68.84,64.73,70.56,-1,68.71
